Symbol	Synonyms	dbXrefs	chromosome	map_location	description	type_of_gene	Symbol_from_nomenclature_authority	Full_name_from_nomenclature_authority	Other_designations	Modification_date
PTPRE	HPTPE|PTPE|R-PTP-EPSILON	MIM:600926|HGNC:HGNC:9669|Ensembl:ENSG00000132334	10	10q26.2	protein tyrosine phosphatase receptor type E	protein-coding	PTPRE	protein tyrosine phosphatase receptor type E	"receptor-type tyrosine-protein phosphatase epsilon|protein tyrosine phosphatase, receptor type, epsilon polypeptide"	20210302
PTPRF	BNAH2|LAR	MIM:179590|HGNC:HGNC:9670|Ensembl:ENSG00000142949	1	1p34.2	protein tyrosine phosphatase receptor type F	protein-coding	PTPRF	protein tyrosine phosphatase receptor type F	"receptor-type tyrosine-protein phosphatase F|LCA-homolog|leukocyte antigen-related (LAR) PTP receptor|leukocyte antigen-related tyrosine phosphatase|leukocyte common antigen related|protein tyrosine phosphatase, receptor type, F polypeptide|receptor-linked protein-tyrosine phosphatase LAR"	20210302
PTPRG	HPTPG|PTPG|R-PTP-GAMMA|RPTPG	MIM:176886|HGNC:HGNC:9671|Ensembl:ENSG00000144724	3	3p14.2	protein tyrosine phosphatase receptor type G	protein-coding	PTPRG	protein tyrosine phosphatase receptor type G	"receptor-type tyrosine-protein phosphatase gamma|H_RG317H01.1|protein tyrosine phosphatase gamma|protein tyrosine phosphatase, receptor type, gamma polypeptide|receptor type protein tyrosine phosphatase gamma|receptor tyrosine phosphatase gamma|receptor-type protein phosphatase gamma"	20210302
PTPRH	R-PTP-H|SAP1	MIM:602510|HGNC:HGNC:9672|Ensembl:ENSG00000080031	19	19q13.42	protein tyrosine phosphatase receptor type H	protein-coding	PTPRH	protein tyrosine phosphatase receptor type H	receptor-type tyrosine-protein phosphatase H|stomach cancer-associated protein tyrosine phosphatase 1|transmembrane-type protein-tyrosine phosphatase type H	20210302
PTPRJ	CD148|DEP1|HPTPeta|R-PTP-ETA|SCC1	MIM:600925|HGNC:HGNC:9673|Ensembl:ENSG00000149177	11	11p11.2	protein tyrosine phosphatase receptor type J	protein-coding	PTPRJ	protein tyrosine phosphatase receptor type J	"receptor-type tyrosine-protein phosphatase eta|CD148 antigen|DEP-1|HPTP eta|R-PTP-J|density-enhanced phosphatase 1|human density enhanced phosphatase-1|protein tyrosine phosphatase, receptor type, J polypeptide|protein-tyrosine phosphatase eta|susceptibility to colon cancer 1, mouse, homolog of"	20210302
PTPRK	R-PTP-kappa	MIM:602545|HGNC:HGNC:9674|Ensembl:ENSG00000152894	6	6q22.33	protein tyrosine phosphatase receptor type K	protein-coding	PTPRK	protein tyrosine phosphatase receptor type K	"receptor-type tyrosine-protein phosphatase kappa|dJ480J14.2.1 (protein tyrosine phosphatase, receptor type, K (R-PTP-KAPPA, protein tyrosine phosphatase kappa , protein tyrosine phosphatase kappa|protein-tyrosine phosphatase kappa|protein-tyrosine phosphatase, receptor type, kappa"	20210302
PTPRM	PTPRL1|R-PTP-MU|RPTPM|RPTPU|hR-PTPu	MIM:176888|HGNC:HGNC:9675|Ensembl:ENSG00000173482	18	18p11.23	protein tyrosine phosphatase receptor type M	protein-coding	PTPRM	protein tyrosine phosphatase receptor type M	"receptor-type tyrosine-protein phosphatase mu|protein tyrosine phosphatase mu|protein tyrosine phosphatase, receptor type, mu polypeptide"	20210302
PTPRN	IA-2|IA-2/PTP|IA2|ICA512|R-PTP-N	MIM:601773|HGNC:HGNC:9676|Ensembl:ENSG00000054356	2	2q35	protein tyrosine phosphatase receptor type N	protein-coding	PTPRN	protein tyrosine phosphatase receptor type N	receptor-type tyrosine-protein phosphatase-like N|ICA 512|PTP IA-2|insulinoma-associated tyrosine-phosphatase-like protein|islet cell antigen 2|islet cell antigen 512|islet cell autoantigen 3|protein tyrosine phosphatase-like N	20210302
PTPRN2	IA-2beta|IAR|ICAAR|PTPRP|R-PTP-N2	MIM:601698|HGNC:HGNC:9677|Ensembl:ENSG00000155093	7	7q36.3	protein tyrosine phosphatase receptor type N2	protein-coding	PTPRN2	protein tyrosine phosphatase receptor type N2	"receptor-type tyrosine-protein phosphatase N2|IAR/receptor-like protein-tyrosine phosphatase|islet cell autoantigen-related protein|phogrin|protein tyrosine phosphatase receptor pi|protein tyrosine phosphatase, receptor type, N polypeptide 2|tyrosine phosphatase IA-2 beta"	20210302
PTPRO	GLEPP1|NPHS6|PTP-OC|PTP-U2|PTPROT|PTPU2|R-PTP-O	MIM:600579|HGNC:HGNC:9678|Ensembl:ENSG00000151490	12	12p12.3|12p13-p12	protein tyrosine phosphatase receptor type O	protein-coding	PTPRO	protein tyrosine phosphatase receptor type O	receptor-type tyrosine-protein phosphatase O|PTP phi|PTPase U2|glomerular epithelial protein 1|osteoclastic transmembrane protein-tyrosine phosphatase|phosphotyrosine phosphatase U2|protein tyrosine phosphatase PTP-U2	20210302
PTPRR	EC-PTP|PCPTP1|PTP-SL|PTPBR7|PTPRQ	MIM:602853|HGNC:HGNC:9680|Ensembl:ENSG00000153233	12	12q15	protein tyrosine phosphatase receptor type R	protein-coding	PTPRR	protein tyrosine phosphatase receptor type R	receptor-type tyrosine-protein phosphatase R|Ch-1 PTPase|NC-PTPCOM1|R-PTP-R|ch-1PTPase|protein tyrosine phosphatase Cr1PTPase|protein-tyrosine phosphatase NC-PTPCOM1|protein-tyrosine phosphatase PCPTP1	20210302
PTPRS	PTPSIGMA|R-PTP-S|R-PTP-sigma	MIM:601576|HGNC:HGNC:9681|Ensembl:ENSG00000105426	19	19p13.3	protein tyrosine phosphatase receptor type S	protein-coding	PTPRS	protein tyrosine phosphatase receptor type S	receptor-type tyrosine-protein phosphatase S|protein tyrosine phosphatase PTPsigma|receptor-type tyrosine-protein phosphatase sigma	20210302
PTPRZ1	HPTPZ|HPTPzeta|PTP-ZETA|PTP18|PTPRZ|PTPZ|R-PTP-zeta-2|RPTPB|RPTPbeta|phosphacan	MIM:176891|HGNC:HGNC:9685|Ensembl:ENSG00000106278	7	7q31.32	protein tyrosine phosphatase receptor type Z1	protein-coding	PTPRZ1	protein tyrosine phosphatase receptor type Z1	"receptor-type tyrosine-protein phosphatase zeta|protein tyrosine phosphatase, receptor-type, Z polypeptide 1|protein tyrosine phosphatase, receptor-type, zeta polypeptide 1|protein-tyrosine phosphatase receptor type Z polypeptide 2|receptor-type tyrosine phosphatase beta/zeta"	20210302
PTPRZ2	HTPZP2|PTPRZ	MIM:604008|HGNC:HGNC:9686	1	1p36.3	protein tyrosine phosphatase receptor type Z2	protein-coding	PTPRZ2	protein tyrosine phosphatase receptor type Z2	"protein tyrosine phosphatase receptor type Z2|protein tyrosine phosphatase, receptor-type, Z polypeptide 2|protein tyrosine phosphatase, receptor-type, zeta polypeptide 2"	20190324
PTS	PTPS	MIM:612719|HGNC:HGNC:9689|Ensembl:ENSG00000150787	11	11q23.1	6-pyruvoyltetrahydropterin synthase	protein-coding	PTS	6-pyruvoyltetrahydropterin synthase	6-pyruvoyl tetrahydrobiopterin synthase|PTP synthase|truncated 6-pyruvoyltetrahydropterin synthase	20210302
PTX3	TNFAIP5|TSG-14	MIM:602492|HGNC:HGNC:9692|Ensembl:ENSG00000163661	3	3q25.32	pentraxin 3	protein-coding	PTX3	pentraxin 3	pentraxin-related protein PTX3|TNF alpha-induced protein 5|long pentraxin 3|tumor necrosis factor alpha-induced protein 5|tumor necrosis factor-inducible gene 14 protein|tumor necrosis factor-inducible protein TSG-14	20210307
RAD1	HRAD1|REC1	MIM:603153|HGNC:HGNC:9806|Ensembl:ENSG00000113456	5	5p13.2	RAD1 checkpoint DNA exonuclease	protein-coding	RAD1	RAD1 checkpoint DNA exonuclease	cell cycle checkpoint protein RAD1|DNA repair exonuclease REC1|DNA repair exonuclease rad1 homolog|RAD1 checkpoint clamp component|RAD1 homolog|cell cycle checkpoint protein Hrad1|checkpoint control protein HRAD1|exonuclease homolog RAD1|rad1-like DNA damage checkpoint protein	20210302
PURA	MRD31|PUR-ALPHA|PUR1|PURALPHA	MIM:600473|HGNC:HGNC:9701|Ensembl:ENSG00000185129	5	5q31.3	purine rich element binding protein A	protein-coding	PURA	purine rich element binding protein A	transcriptional activator protein Pur-alpha|purine-rich single-stranded DNA-binding protein alpha	20210302
PURB	PURBETA	MIM:608887|HGNC:HGNC:9702|Ensembl:ENSG00000146676	7	7p13	purine rich element binding protein B	protein-coding	PURB	purine rich element binding protein B	transcriptional activator protein Pur-beta	20210302
PVALB	D22S749	MIM:168890|HGNC:HGNC:9704|Ensembl:ENSG00000100362	22	22q12.3	parvalbumin	protein-coding	PVALB	parvalbumin	parvalbumin alpha	20210302
PVR	CD155|HVED|NECL5|Necl-5|PVS|TAGE4	MIM:173850|HGNC:HGNC:9705|Ensembl:ENSG00000073008	19	19q13.31	PVR cell adhesion molecule	protein-coding	PVR	PVR cell adhesion molecule	poliovirus receptor|nectin-like protein 5	20210307
NECTIN1	CD111|CLPED1|ED4|HIgR|HV1S|HVEC|OFC7|PRR|PRR1|PVRL1|PVRR|PVRR1|SK-12|nectin-1	MIM:600644|HGNC:HGNC:9706|Ensembl:ENSG00000110400	11	11q23.3	nectin cell adhesion molecule 1	protein-coding	NECTIN1	nectin cell adhesion molecule 1	nectin-1|ectodermal dysplasia 4 (Margarita Island type)|herpes simplex virus type 1 sensitivity|herpes virus entry mediator C|herpesvirus Ig-like receptor|nectin 1|poliovirus receptor-like 1|poliovirus receptor-related 1 (herpesvirus entry mediator C)|poliovirus receptor-related protein 1	20210302
NECTIN2	CD112|HVEB|PRR2|PVRL2|PVRR2	MIM:600798|HGNC:HGNC:9707|Ensembl:ENSG00000130202	19	19q13.32	nectin cell adhesion molecule 2	protein-coding	NECTIN2	nectin cell adhesion molecule 2	nectin-2|herpesvirus entry protein B|poliovirus receptor-like 2|poliovirus receptor-related 2 (herpesvirus entry mediator B)	20210302
PVT1	LINC00079|MIR1204HG|NCRNA00079|onco-lncRNA-100	MIM:165140|HGNC:HGNC:9709|Ensembl:ENSG00000249859	8	8q24.21	Pvt1 oncogene	ncRNA	PVT1	Pvt1 oncogene	"CXCR4/PVT1 fusion|HIST1H2BD/PVT1 fusion|MIR1204, MIR1205, MIR1206 and MIR1207 host|Oncogene PVT-1 (MYC activator)|PVT1/CASC8 fusion|PVT1/CCDC26 fusion|PVT1/IFRD1 fusion|PVT1/IRF2BP2 fusion|PVT1/LINC00824 fusion|PVT1/MYC fusion|PVT1/NFIL3 fusion|PVT1/NSMCE2 fusion|PVT1/SPRY2 fusion|PVT1/UBB fusion|Pvt1 oncogene (non-protein coding)|RP11-89K10/PVT1 fusion|long intergenic non-protein coding RNA 79|plasmacytoma variant translocation 1|pvt-1 (murine) oncogene homolog, MYC activator"	20210302
PWP2	EHOC-17|PWP2H|UTP1	MIM:601475|HGNC:HGNC:9711|Ensembl:ENSG00000241945	21	21q22.3	PWP2 small subunit processome component	protein-coding	PWP2	PWP2 small subunit processome component	"periodic tryptophan protein 2 homolog|PWP2 periodic tryptophan protein homolog|PWP2, UTPB SSU processome subunit"	20210302
PEX19	D1S2223E|HK33|PBD12A|PMP1|PMPI|PXF|PXMP1	MIM:600279|HGNC:HGNC:9713|Ensembl:ENSG00000162735	1	1q23.2	peroxisomal biogenesis factor 19	protein-coding	PEX19	peroxisomal biogenesis factor 19	"peroxisomal biogenesis factor 19|33 kDa housekeeping protein|housekeeping gene, 33kD|peroxin-19|peroxisomal farnesylated protein"	20210302
ABCD3	ABC43|CBAS5|PMP70|PXMP1|ZWS2	MIM:170995|HGNC:HGNC:67|Ensembl:ENSG00000117528	1	1p21.3	ATP binding cassette subfamily D member 3	protein-coding	ABCD3	ATP binding cassette subfamily D member 3	"ATP-binding cassette sub-family D member 3|70 kDa peroxisomal membrane protein|ATP-binding cassette, sub-family D (ALD), member 3|Peroxisomal membrane protein-1 (70kD)|dJ824O18.1 (ATP-binding cassette, sub-family D (ALD), member 3 (PMP70, PXMP1))|peroxisomal membrane protein 1 (70kD, Zellweger syndrome)"	20210307
ABCD4	ABC41|EST352188|MAHCJ|P70R|P79R|PMP69|PXMP1L	MIM:603214|HGNC:HGNC:68|Ensembl:ENSG00000119688	14	14q24.3	ATP binding cassette subfamily D member 4	protein-coding	ABCD4	ATP binding cassette subfamily D member 4	"lysosomal cobalamin transporter ABCD4|69 kDa peroxisomal ABC-transporter|ATP-binding cassette sub-family D member 4|ATP-binding cassette, sub-family D (ALD), member 4|PMP70-related protein|PXMP1-L|peroxisomal membrane protein 69"	20210302
PXMP2	MPV17L3|PMP22	MIM:617399|HGNC:HGNC:9716|Ensembl:ENSG00000176894	12	12q24.33	peroxisomal membrane protein 2	protein-coding	PXMP2	peroxisomal membrane protein 2	"peroxisomal membrane protein 2|22 kDa peroxisomal membrane protein|peroxisomal membrane protein 2, 22kDa"	20210302
PEX2	PAF1|PBD5A|PBD5B|PMP3|PMP35|PXMP3|RNF72|ZWS3	MIM:170993|HGNC:HGNC:9717|Ensembl:ENSG00000164751	8	8q21.13	peroxisomal biogenesis factor 2	protein-coding	PEX2	peroxisomal biogenesis factor 2	"peroxisome biogenesis factor 2|35 kDa peroxisomal membrane protein|RING finger protein 72|peroxisomal membrane protein 3, 35kDa|peroxisome assembly factor 1"	20210302
PXN	-	MIM:602505|HGNC:HGNC:9718|Ensembl:ENSG00000089159	12	12q24.23	paxillin	protein-coding	PXN	paxillin	paxillin|testicular tissue protein Li 134	20210302
PEX5	PBD2A|PBD2B|PTS1-BP|PTS1R|PXR1|RCDP5	MIM:600414|HGNC:HGNC:9719|Ensembl:ENSG00000139197	12	12p13.31	peroxisomal biogenesis factor 5	protein-coding	PEX5	peroxisomal biogenesis factor 5	peroxisomal biogenesis factor 5|PTS1 receptor|peroxin-5|peroxisomal C-terminal targeting signal import receptor|peroxisomal import receptor 5|peroxisomal targeting signal 1 (SKL type) receptor|peroxisomal targeting signal 1 receptor|peroxisomal targeting signal import receptor|peroxisomal targeting signal receptor 1|peroxisome receptor 1	20210302
PYCR1	ARCL2B|ARCL3B|P5C|P5CR|PIG45|PP222|PRO3|PYCR	MIM:179035|HGNC:HGNC:9721|Ensembl:ENSG00000183010	17	17q25.3	pyrroline-5-carboxylate reductase 1	protein-coding	PYCR1	pyrroline-5-carboxylate reductase 1	"pyrroline-5-carboxylate reductase 1, mitochondrial|P5C reductase 1|proliferation-inducing protein 45"	20210307
ALDH18A1	ADCL3|ARCL3A|GSAS|P5CS|PYCS|SPG9|SPG9A|SPG9B	MIM:138250|HGNC:HGNC:9722|Ensembl:ENSG00000059573	10	10q24.1	aldehyde dehydrogenase 18 family member A1	protein-coding	ALDH18A1	aldehyde dehydrogenase 18 family member A1	"delta-1-pyrroline-5-carboxylate synthase|Spastic paraplegia-9 (spastic paraparesis with amyotrophy, cataracts and gastroesophageal reflux)|aldehyde dehydrogenase family 18 member A1|delta-1-pyrroline-5-carboxylate synthetase|delta1-pyrroline-5-carboxlate synthetase|pyrroline-5-carboxylate synthetase (glutamate gamma-semialdehyde synthetase)|spastic paraplegia 9 (autosomal dominant)"	20210307
PCYT2	ET|SPG82	MIM:602679|HGNC:HGNC:8756|Ensembl:ENSG00000185813	17	17q25.3	"phosphate cytidylyltransferase 2, ethanolamine"	protein-coding	PCYT2	"phosphate cytidylyltransferase 2, ethanolamine"	ethanolamine-phosphate cytidylyltransferase|CTP:phosphoethanolamine cytidylyltransferase|phosphorylethanolamine transferase	20210302
PYGB	GPBB	MIM:138550|HGNC:HGNC:9723|Ensembl:ENSG00000100994	20	20p11.21	glycogen phosphorylase B	protein-coding	PYGB	glycogen phosphorylase B	"glycogen phosphorylase, brain form|phosphorylase, glycogen; brain"	20210302
PYGL	GSD6	MIM:613741|HGNC:HGNC:9725|Ensembl:ENSG00000100504	14	14q22.1	glycogen phosphorylase L	protein-coding	PYGL	glycogen phosphorylase L	"glycogen phosphorylase, liver form|phosphorylase, glycogen, liver"	20210307
PYGM	GSD5	MIM:608455|HGNC:HGNC:9726|Ensembl:ENSG00000068976	11	11q13.1	"glycogen phosphorylase, muscle associated"	protein-coding	PYGM	"glycogen phosphorylase, muscle associated"	"glycogen phosphorylase, muscle form|myophosphorylase|phosphorylase, glycogen, muscle"	20210302
PZP	CPAMD6	MIM:176420|HGNC:HGNC:9750|Ensembl:ENSG00000126838	12	12p13.31	PZP alpha-2-macroglobulin like	protein-coding	PZP	PZP alpha-2-macroglobulin like	pregnancy zone protein|C3 and PZP-like alpha-2-macroglobulin domain-containing protein 6|Pregnancy zone protein|pregnancy-zone protein	20210302
QARS1	GLNRS|MSCCA|PRO2195|QARS	MIM:603727|HGNC:HGNC:9751|Ensembl:ENSG00000172053	3	3p21.31	glutaminyl-tRNA synthetase 1	protein-coding	QARS1	glutaminyl-tRNA synthetase 1	glutamine--tRNA ligase|glutamine-tRNA synthetase	20210307
QDPR	DHPR|HDHPR|PKU2|SDR33C1	MIM:612676|HGNC:HGNC:9752|Ensembl:ENSG00000151552	4	4p15.32	quinoid dihydropteridine reductase	protein-coding	QDPR	quinoid dihydropteridine reductase	"dihydropteridine reductase|6,7-dihydropteridine reductase|short chain dehydrogenase/reductase family 33C member 1|testis secretory sperm-binding protein Li 236P"	20210302
RAB1A	RAB1|YPT1	MIM:179508|HGNC:HGNC:9758|Ensembl:ENSG00000138069	2	2p14	"RAB1A, member RAS oncogene family"	protein-coding	RAB1A	"RAB1A, member RAS oncogene family"	"ras-related protein Rab-1A|GTP binding protein Rab1a|RAB1, member RAS oncogene family|Rab GTPase YPT1 homolog|YPT1-related protein"	20210302
RAB2A	LHX|RAB2	MIM:179509|HGNC:HGNC:9763|Ensembl:ENSG00000104388	8	8q12.1-q12.2	"RAB2A, member RAS oncogene family"	protein-coding	RAB2A	"RAB2A, member RAS oncogene family"	"ras-related protein Rab-2A|RAB2, member RAS oncogene family|small GTP binding protein RAB2A"	20210302
RGL2	HKE1.5|KE1.5|RAB2L	MIM:602306|HGNC:HGNC:9769|Ensembl:ENSG00000237441	6	6p21.32	ral guanine nucleotide dissociation stimulator like 2	protein-coding	RGL2	ral guanine nucleotide dissociation stimulator like 2	ral guanine nucleotide dissociation stimulator-like 2|GDS-related protein|ralGDS-like 2|ralGDS-like factor|ras-associated protein RAB2L	20210302
RAB3A	-	MIM:179490|HGNC:HGNC:9777|Ensembl:ENSG00000105649	19	19p13.11	"RAB3A, member RAS oncogene family"	protein-coding	RAB3A	"RAB3A, member RAS oncogene family"	ras-related protein Rab-3A|RAS-associated protein RAB3A	20210302
RAB3B	-	MIM:179510|HGNC:HGNC:9778|Ensembl:ENSG00000169213	1	1p32.3	"RAB3B, member RAS oncogene family"	protein-coding	RAB3B	"RAB3B, member RAS oncogene family"	ras-related protein Rab-3B|brain antigen RAB3B	20210302
RAB3IL1	GRAB	HGNC:HGNC:9780|Ensembl:ENSG00000167994	11	11q12.2-q12.3	RAB3A interacting protein like 1	protein-coding	RAB3IL1	RAB3A interacting protein like 1	guanine nucleotide exchange factor for Rab-3A|RAB3A interacting protein (rabin3)-like 1|rab3A-interacting-like protein 1|rabin3-like 1	20210302
RAB4A	HRES-1|HRES-1/RAB4|HRES1|RAB4	MIM:179511|HGNC:HGNC:9781|Ensembl:ENSG00000168118	1	1q42.13	"RAB4A, member RAS oncogene family"	protein-coding	RAB4A	"RAB4A, member RAS oncogene family"	ras-related protein Rab-4A|HTLV-1 related endogenous sequence	20210307
RAB5A	RAB5	MIM:179512|HGNC:HGNC:9783|Ensembl:ENSG00000144566	3	3p24.3	"RAB5A, member RAS oncogene family"	protein-coding	RAB5A	"RAB5A, member RAS oncogene family"	ras-related protein Rab-5A|RAS-associated protein RAB5A	20210302
RAB5B	-	MIM:179514|HGNC:HGNC:9784|Ensembl:ENSG00000111540	12	12q13.2	"RAB5B, member RAS oncogene family"	protein-coding	RAB5B	"RAB5B, member RAS oncogene family"	ras-related protein Rab-5B	20210302
RAB6A	RAB6	MIM:179513|HGNC:HGNC:9786|Ensembl:ENSG00000175582	11	11q13.4	"RAB6A, member RAS oncogene family"	protein-coding	RAB6A	"RAB6A, member RAS oncogene family"	"ras-related protein Rab-6A|RAB6, member RAS oncogene family|Rab GTPase"	20210302
MAP4K2	BL44|GCK|RAB8IP	MIM:603166|HGNC:HGNC:6864|Ensembl:ENSG00000168067	11	11q13.1	mitogen-activated protein kinase kinase kinase kinase 2	protein-coding	MAP4K2	mitogen-activated protein kinase kinase kinase kinase 2	mitogen-activated protein kinase kinase kinase kinase 2|B lymphocyte serine/threonine protein kinase|MAPK/ERK kinase kinase kinase 2|MEK kinase kinase 2|MEKKK 2|Rab8 interacting protein|germinal centre kinase (GC kinase)	20210302
RAB13	GIG4	MIM:602672|HGNC:HGNC:9762|Ensembl:ENSG00000143545	1	1q21.3	"RAB13, member RAS oncogene family"	protein-coding	RAB13	"RAB13, member RAS oncogene family"	ras-related protein Rab-13|RAS-associated protein RAB13|cell growth-inhibiting gene 4 protein|growth-inhibiting gene 4 protein	20210302
RAB27A	GS2|HsT18676|RAB27|RAM	MIM:603868|HGNC:HGNC:9766|Ensembl:ENSG00000069974	15	15q21.3	"RAB27A, member RAS oncogene family"	protein-coding	RAB27A	"RAB27A, member RAS oncogene family"	ras-related protein Rab-27A|GTP-binding protein Ram|mutant Ras-related protein Rab-27A|rab-27	20210307
RAB27B	C25KG	MIM:603869|HGNC:HGNC:9767|Ensembl:ENSG00000041353	18	18q21.2	"RAB27B, member RAS oncogene family"	protein-coding	RAB27B	"RAB27B, member RAS oncogene family"	ras-related protein Rab-27B	20210302
RABGGTA	PTAR3	MIM:601905|HGNC:HGNC:9795|Ensembl:ENSG00000100949	14	14q12	Rab geranylgeranyltransferase subunit alpha	protein-coding	RABGGTA	Rab geranylgeranyltransferase subunit alpha	geranylgeranyl transferase type-2 subunit alpha|Rab GG transferase alpha|Rab GGTase alpha|Rab geranylgeranyltransferase alpha subunit|geranylgeranyl transferase type II subunit alpha|protein prenyltransferase alpha subunit repeat containing 3|rab geranyl-geranyltransferase subunit alpha	20210302
RABGGTB	GGTB	MIM:179080|HGNC:HGNC:9796|Ensembl:ENSG00000137955	1	1p31.1	Rab geranylgeranyltransferase subunit beta	protein-coding	RABGGTB	Rab geranylgeranyltransferase subunit beta	geranylgeranyl transferase type-2 subunit beta|GGTase-II-beta|Rab geranylgeranyltransferase beta subunit|rab GG transferase beta|rab GGTase beta|type II protein geranyl-geranyltransferase subunit beta	20210302
RABIF	MSS4|RASGFR3|RASGRF3	MIM:603417|HGNC:HGNC:9797|Ensembl:ENSG00000183155	1	1q32.1	RAB interacting factor	protein-coding	RABIF	RAB interacting factor	guanine nucleotide exchange factor MSS4|Ras-specific guanine-releasing factor 3|mammalian suppressor of SEC4|rab-interacting factor	20210302
RAB5C	L1880|RAB5CL|RAB5L|RABL	MIM:604037|HGNC:HGNC:9785|Ensembl:ENSG00000108774	17	17q21.2	"RAB5C, member RAS oncogene family"	protein-coding	RAB5C	"RAB5C, member RAS oncogene family"	"ras-related protein Rab-5C|RAB5C, member of RAS oncogene family"	20210302
RAC1	MIG5|MRD48|Rac-1|TC-25|p21-Rac1	MIM:602048|HGNC:HGNC:9801|Ensembl:ENSG00000136238	7	7p22.1	Rac family small GTPase 1	protein-coding	RAC1	Rac family small GTPase 1	"ras-related C3 botulinum toxin substrate 1|cell migration-inducing gene 5 protein|ras-like protein TC25|ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)"	20210307
RAC2	EN-7|Gx|HSPC022|IMD73A|IMD73B|IMD73C|p21-Rac2	MIM:602049|HGNC:HGNC:9802|Ensembl:ENSG00000128340	22	22q13.1	Rac family small GTPase 2	protein-coding	RAC2	Rac family small GTPase 2	"ras-related C3 botulinum toxin substrate 2|Ras-related C3 botulinum toxin substrate 3 (rho family, small GTP-binding protein Rac2)|ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)|small G protein"	20210302
RAC3	-	MIM:602050|HGNC:HGNC:9803|Ensembl:ENSG00000169750	17	17q25.3	Rac family small GTPase 3	protein-coding	RAC3	Rac family small GTPase 3	"ras-related C3 botulinum toxin substrate 3|p21-Rac3|ras-related C3 botulinum toxin substrate 3 (rho family, small GTP binding protein Rac3)|rho family, small GTP binding protein Rac3"	20210302
RAD9A	RAD9	MIM:603761|HGNC:HGNC:9827|Ensembl:ENSG00000172613	11	11q13.2	RAD9 checkpoint clamp component A	protein-coding	RAD9A	RAD9 checkpoint clamp component A	cell cycle checkpoint control protein RAD9A|DNA repair exonuclease rad9 homolog A|RAD9 homolog A|hRAD9	20210302
RAD17	CCYC|HRAD17|R24L|RAD17SP|RAD24	MIM:603139|HGNC:HGNC:9807|Ensembl:ENSG00000152942	5	5q13.2	RAD17 checkpoint clamp loader component	protein-coding	RAD17	RAD17 checkpoint clamp loader component	cell cycle checkpoint protein RAD17|RAD1 homolog|RAD17 homolog|RF-C activator 1 homolog|Rad17-like protein|cell cycle checkpoint protein (RAD17)	20210302
RAD21	CDLS4|HR21|HRAD21|MCD1|MGS|NXP1|SCC1|hHR21	MIM:606462|HGNC:HGNC:9811|Ensembl:ENSG00000164754	8	8q24.11	RAD21 cohesin complex component	protein-coding	RAD21	RAD21 cohesin complex component	double-strand-break repair protein rad21 homolog|NXP-1|RAD21 homolog|SCC1 homolog|kleisin|nuclear matrix protein 1|protein involved in DNA double-strand break repair|sister chromatid cohesion 1	20210307
RAD23A	HHR23A|HR23A	MIM:600061|HGNC:HGNC:9812|Ensembl:ENSG00000179262	19	19p13.13	"RAD23 homolog A, nucleotide excision repair protein"	protein-coding	RAD23A	"RAD23 homolog A, nucleotide excision repair protein"	"UV excision repair protein RAD23 homolog A|RAD23, yeast homolog, A"	20210302
RAD23B	HHR23B|HR23B|P58	MIM:600062|HGNC:HGNC:9813|Ensembl:ENSG00000119318	9	9q31.2	"RAD23 homolog B, nucleotide excision repair protein"	protein-coding	RAD23B	"RAD23 homolog B, nucleotide excision repair protein"	"UV excision repair protein RAD23 homolog B|RAD23, yeast homolog of, B|XP-C repair complementing complex 58 kDa|XP-C repair complementing protein|XP-C repair-complementing complex 58 kDa protein"	20210302
RAD51	BRCC5|FANCR|HRAD51|HsRad51|HsT16930|MRMV2|RAD51A|RECA	MIM:179617|HGNC:HGNC:9817|Ensembl:ENSG00000051180	15	15q15.1	RAD51 recombinase	protein-coding	RAD51	RAD51 recombinase	"DNA repair protein RAD51 homolog 1|BRCA1/BRCA2-containing complex, subunit 5|RAD51 homolog A|RecA, E. coli, homolog of|RecA-like protein|recombination protein A"	20210306
RAD51C	BROVCA3|FANCO|R51H3|RAD51L2	MIM:602774|HGNC:HGNC:9820|Ensembl:ENSG00000108384	17	17q22	RAD51 paralog C	protein-coding	RAD51C	RAD51 paralog C	DNA repair protein RAD51 homolog 3|RAD51-like protein 2|yeast RAD51 homolog 3	20210302
RAD51B	R51H2|RAD51L1|REC2	MIM:602948|HGNC:HGNC:9822|Ensembl:ENSG00000182185	14	14q24.1	RAD51 paralog B	protein-coding	RAD51B	RAD51 paralog B	DNA repair protein RAD51 homolog 2|RAD51 homolog B|RecA-like protein|recombination repair protein	20210302
MOK	RAGE|RAGE-1|RAGE1|STK30	MIM:605762|HGNC:HGNC:9833|Ensembl:ENSG00000080823	14	14q32.31	MOK protein kinase	protein-coding	MOK	MOK protein kinase	MAPK/MAK/MRK overlapping kinase|renal cell carcinoma antigen|renal tumor antigen 1	20210302
RAD51D	BROVCA4|R51H3|RAD51L3|TRAD	MIM:602954|HGNC:HGNC:9823|Ensembl:ENSG00000185379	17	17q12	RAD51 paralog D	protein-coding	RAD51D	RAD51 paralog D	DNA repair protein RAD51 homolog 4|RAD51 homolog D|RAD51-like protein 3|recombination repair protein	20210302
